Area_type,Availability,Location,No of rooms (BHK),Society,Total_sqft,No of bathrooms,Balcony,Price (in Lakhs)
Super built-up  Area,Ready To Move,Babusapalaya,3,,1611,2,2,66
Built-up  Area,Ready To Move,Outer Ring Road East,2,Hoens T,1367,2,2,62
Super built-up  Area,Ready To Move,Devanahalli,2,Brntsal,1010,2,1,51
Plot  Area,Ready To Move,Kavika Layout,3,,750,2,1,75
Carpet  Area,Ready To Move,Vinayaka Nagar,3,SVon hn,1535,3,1,95
Super built-up  Area,Ready To Move,Anekal,2,,620,2,1,22
Built-up  Area,Ready To Move,Horamavu Agara,2,,982,2,1,47.65
Super built-up  Area,Ready To Move,Banashankari Stage II,2,,1700,2,2,150
Super built-up  Area,Not yet Ready,Whitefield,2,BSlasin,1330,2,1,71
Built-up  Area,Ready To Move,JP Nagar,3,Ronty C,2500,3,2,135
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,,1475,2,2,58.99
Super built-up  Area,Ready To Move,Bhoganhalli,3,BSisear,1410,3,1,65
Super built-up  Area,Ready To Move,Yelahanka New Town,1,,440,1,1,16.5
Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1614,3,2,95
Super built-up  Area,Ready To Move,Neeladri Nagar,2,GeereEc,1363,2,2,68
Built-up  Area,Ready To Move,Kogilu,2,,650,2,0,28
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,2,,1015,2,1,45
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1156,2,2,46
Super built-up  Area,Not yet Ready,Hennur Busstop,2,,1100,2,1,62.7
Super built-up  Area,Not yet Ready,KR Puram,3,,1455,3,2,46
Super built-up  Area,Ready To Move,GB Palya,2,Ravashw,930,2,1,45
Built-up  Area,Ready To Move,AMS Layout,3,,1650,2,2,80
Built-up  Area,Ready To Move,KR Puram,2,,1200,2,0,90
Plot  Area,Ready To Move,9th Block Jayanagar,1,,700,1,0,150
Super built-up  Area,Ready To Move,Karuna Nagar,4,AjityIn,2900,3,,135
Super built-up  Area,Not yet Ready,Kadugodi,3,Alestrb,1890,4,3,127
Super built-up  Area,Ready To Move,Ashwathnagar,3,Vaour S,2197,4,3,280
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,GonumPl,3522,3,2,380
Super built-up  Area,Not yet Ready,Gaurava Nagar,3,,1240,2,2,46
Built-up  Area,Ready To Move,HRBR Layout,2,Vaaveeh,1440,2,2,98
Super built-up  Area,Ready To Move,Kodichikkanahalli,1,,650,1,2,38
Super built-up  Area,Not yet Ready,Budigere,1,Brstaue,764,1,1,32
Plot  Area,Ready To Move,Sector 7 HSR Layout,5,,900,4,0,90
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,Hoodi,3,Macanr ,1445,3,2,65
Super built-up  Area,Not yet Ready,Kanakpura Road,2,PrarePa,900,1,0,45
Super built-up  Area,Ready To Move,Singasandra,2,,1030,2,,55
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1381,2,2,52.48
Built-up  Area,Ready To Move,Basapura,2,Krtiqa ,1100,2,1,60
Super built-up  Area,Ready To Move,Hoodi,3,,1575,3,2,66.39
Plot  Area,Ready To Move,Thigalarapalya,2,,1200,2,1,65
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,43.2
Super built-up  Area,Ready To Move,Kasturi Nagar,2,GradeMR,1080,2,2,80
Plot  Area,Ready To Move,Hebbal Kempapura,5,,2280,5,,200
Super built-up  Area,Not yet Ready,Akshaya Nagar,3,,1360,2,2,85
Super built-up  Area,Not yet Ready,Jakkur,3,Ceezey ,1865,3,1,124
Super built-up  Area,Not yet Ready,Sarjapur  Road,3,AsastDe,1157,2,1,75
Super built-up  Area,Ready To Move,Kammasandra,2,Icingpy,674,2,1,29
Super built-up  Area,Ready To Move,Whitefield,3,AdndeBe,1405,2,1,78
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1160,2,2,44.08
Plot  Area,Ready To Move,Kengeri Satellite Town ( BDA SITE),4,,1600,3,1,172
Super built-up  Area,Not yet Ready,Hebbal,3,Oztarol,1790,3,2,127
Super built-up  Area,Not yet Ready,Electronic City,2,Prarkun,1128,2,1,65.65
Super built-up  Area,Ready To Move,Panathur,2,Arentpa,1180,2,1,70
Built-up  Area,Ready To Move,AGS Layout,3,,1450,2,2,85
Built-up  Area,Not yet Ready,Kengeri,1,,440,1,1,10
Built-up  Area,Ready To Move,Srinagar,4,,2000,3,1,166
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,53.5
Super built-up  Area,Ready To Move,Varthur,2,Pethaai,1125,2,2,40
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1246,2,1,68
Super built-up  Area,Ready To Move,HSR Layout,2,SrisePo,1372,2,1,61
Super built-up  Area,Ready To Move,Uttarahalli,3,Aklia R,1330,2,1,56
Super built-up  Area,Not yet Ready,Binny Pete,3,She 2rk,2465,5,2,234
Super built-up  Area,Ready To Move,Dasarahalli,2,,1300,2,3,55
Plot  Area,Ready To Move,Brigade Road,2,,1420,1,0,220
Plot  Area,Ready To Move,Bannerghatta,4,,810,4,1,50
Super built-up  Area,Ready To Move,Channasandra,2,Unm 2El,1065,2,1,35
Built-up  Area,Ready To Move,Hessarghatta,2,,700,2,0,27
Carpet  Area,Not yet Ready,Hebbal,2,Arcia S,547.34,2,0,42.72
Super built-up  Area,Ready To Move,Belathur,2,Viiniai,1050,2,1,45
Super built-up  Area,Not yet Ready,Maruthi HBCS Layout,3,,1250,3,3,39.5
Built-up  Area,Ready To Move,Electronic City,2,Palleon,865,2,0,42
Super built-up  Area,Ready To Move,Uttarahalli,2,,1200,2,2,44
Built-up  Area,Ready To Move,Srirampura,3,NRnoral,1756,3,3,100
Plot  Area,Ready To Move,Malleshwaram,9,,750,8,,150
Super built-up  Area,Ready To Move,Yelahanka,1,Ardanru,628,1,1,24
Plot  Area,Ready To Move,9th Phase JP Nagar,7,,1200,6,2,195
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,,1207,2,2,63
Super built-up  Area,Ready To Move,Kalena Agrahara,3,KlarkBe,1765,3,1,125
Built-up  Area,Not yet Ready,Electronic City,2,,1130,2,1,32.64
Super built-up  Area,Not yet Ready,Devanahalli Road,3,Ozana U,1532,3,3,92
Built-up  Area,Ready To Move,Ejipura,3,DSncele,1650,3,0,110
Built-up  Area,Not yet Ready,Horamavu Banaswadi,4,,1200,4,2,105
Carpet  Area,Not yet Ready,Bhoganhalli,2,Rosha I,804.1,2,1,69.09
Super built-up  Area,Not yet Ready,Doddathoguru,2,,1200,2,2,75
Super built-up  Area,Ready To Move,Kengeri,2,,1197,2,2,50
Built-up  Area,Ready To Move,Green Woods Layout,2,Paarklu,1200,2,2,66
Super built-up  Area,Ready To Move,Uttarahalli,3,Shony S,1385,2,2,48.48
Super built-up  Area,Ready To Move,Craig Park Layout,2,Cearkry,1010,2,3,148
Super built-up  Area,Ready To Move,Whitefield,3,UKe 2nz,2225,3,3,115
Super built-up  Area,Ready To Move,Immadihalli,2,Niimet ,1180,2,2,48
Super built-up  Area,Ready To Move,Banagiri Nagar,3,,1525,2,3,122
Super built-up  Area,Ready To Move,Ananth Nagar,2,,1100,2,2,31.5
Super built-up  Area,Ready To Move,Hiremath Layout,3,,1435,3,3,70
Built-up  Area,Ready To Move,Attibele,1,Jae 2hu,400,1,1,14
Super built-up  Area,Ready To Move,Dommasandra,2,Asene S,1200,2,2,50
Super built-up  Area,Not yet Ready,Whitefield,2,PritaDo,1272,2,1,95.05
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1205,2,1,39
Built-up  Area,Ready To Move,Kalena Agrahara,2,ARomee ,980,2,1,40
Super built-up  Area,Not yet Ready,Malleshpalya,2,,1225,2,2,46.86
Built-up  Area,Ready To Move,Whitefield,3,,1541,3,1,72
Super built-up  Area,Ready To Move,Ramagondanahalli,3,DNeremo,1610,2,2,111
Super built-up  Area,Ready To Move,Jalahalli,2,Tahtsla,1694,2,2,125
Plot  Area,Ready To Move,Jnanabharathi Layout,3,,600,3,2,75
Super built-up  Area,Ready To Move,Kaggalipura,2,Baowsig,950,2,1,39
Super built-up  Area,Ready To Move,Muneshwara Nagar,3,Laderav,1560,2,3,66
Super built-up  Area,Ready To Move,Chandapura,2,,1201,2,2,27
Plot  Area,Ready To Move,Chandapura,2,,1500,2,1,60
Super built-up  Area,Ready To Move,Malleshpalya,3,,1785,3,2,75
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,,1258,2,1,63.53
Super built-up  Area,Ready To Move,Electronic City,2,CoapeSo,910,2,2,42
Super built-up  Area,Ready To Move,Thigalarapalya,2,,1297,2,2,112
Super built-up  Area,Ready To Move,Kundalahalli,2,Vangsld,1291,2,3,49
Built-up  Area,Ready To Move,Chikkasandra,2,,1070,2,2,42
Super built-up  Area,Ready To Move,Varthur,2,Soamsay,1012,2,1,66.5
Super built-up  Area,Ready To Move,Mahadevpura,2,,1260,2,3,57.6
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maantr ,1282,2,2,72
Super built-up  Area,Ready To Move,Kanakpura Road,3,Puestol,1843,3,2,92.15
Plot  Area,Ready To Move,Bharath Housing Society Layout,4,,2400,3,,200
Built-up  Area,Ready To Move,Chikka Tirupathi,5,Theanmp,3356,5,2,105
Super built-up  Area,Not yet Ready,Hebbal,4,Raard B,2790,5,3,198
Super built-up  Area,Ready To Move,EPIP Zone,2,BrontLa,1330,2,1,86.98
Super built-up  Area,Ready To Move,Konanakunte,3,A rtsai,1400,2,1,73
Built-up  Area,Not yet Ready,Whitefield,2,,1192,2,1,71
Built-up  Area,Ready To Move,3rd Block Jayanagar,2,,1000,2,1,130
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,1297,2,2,103
Super built-up  Area,Not yet Ready,Sarjapur  Road,1,Sasta S,650,1,0,17.835
Super built-up  Area,Not yet Ready,Vijayanagar,3,Saahaat,1490,3,2,100
Super built-up  Area,Ready To Move,Rayasandra,3,MJeusyl,1373,3,2,72
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1035,2,1,41.39
Plot  Area,Ready To Move,Kadugodi,4,,3750,4,0,210
Super built-up  Area,Ready To Move,Doddakallasandra,2,,1010,2,1,40.39
Built-up  Area,Ready To Move,Sarjapur,2,,1195,2,1,42
Super built-up  Area,Ready To Move,HSR Layout,3,Klort C,1750,3,2,95
Super built-up  Area,Ready To Move,Malleshpalya,2,A idse ,1052,2,2,50
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2,,1180,2,2,58
Built-up  Area,Ready To Move,Padmanabhanagar,5,,3680,4,2,440
Built-up  Area,Ready To Move,Hormavu,3,,2100,3,2,73
Built-up  Area,Not yet Ready,Hoodi,4,,2863,4,1,140
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1128,2,2,38.24
Built-up  Area,Ready To Move,Ulsoor,3,,2700,3,1,450
Super built-up  Area,Not yet Ready,JP Nagar,2,DSvvyx ,1120,2,2,33.6
Built-up  Area,Ready To Move,HSR Layout,3,,2424,3,2,90
Built-up  Area,Ready To Move,Manjunatha Layout,2,,1300,2,1,60
Super built-up  Area,Ready To Move,Kanakapura,2,SPavenc,1090,2,2,32.69
Built-up  Area,Ready To Move,Yelahanka,3,,2710,3,1,251
Plot  Area,Ready To Move,Konanakunte Cross,2,,3040,1,1,180
Super built-up  Area,Ready To Move,Uttarahalli,3,SLnssPr,1330,2,2,46.55
Super built-up  Area,Not yet Ready,Hosur Road,3,PuendWe,1427,2,1,80.63
Super built-up  Area,Not yet Ready,Banjara Layout,3,,1294,2,2,48
Built-up  Area,Ready To Move,Begur,3,Vantspa,1580,3,2,75
Plot  Area,Ready To Move,Uttarahalli,5,,400,5,1,200
Plot  Area,Ready To Move,Chikka Tirupathi,3,FiriaVi,1808,4,2,80.27
Super built-up  Area,Ready To Move,Rajaji Nagar,4,PhestOn,3516,4,3,540
Super built-up  Area,Ready To Move,Parappana Agrahara,2,Peide L,1194,2,2,47
Super built-up  Area,Not yet Ready,Kanakpura Road,2,PrarePa,900,2,1,46
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,3,,1310,2,3,50
Super built-up  Area,Not yet Ready,Kanakpura Road,2,PrarePa,900,2,1,46
Built-up  Area,Ready To Move,Singasandra,4,,3850,6,3,195
Plot  Area,Ready To Move,Kogilu,7,,925,7,3,88
Super built-up  Area,Not yet Ready,Yelachenahalli,2,,2400,1,1,150
Super built-up  Area,Ready To Move,Koramangala,2,,1290,2,3,100
Built-up  Area,Ready To Move,Yelahanka,6,,3770,6,3,110
Super built-up  Area,Ready To Move,Lakshmi Layout,3,Cemesti,1390,3,1,120
Plot  Area,Ready To Move,Tavarekere,4,,1200,4,2,72
Built-up  Area,Ready To Move,Bisuvanahalli,2,Prityel,845,2,1,33
Super built-up  Area,Ready To Move,Yelahanka,3,Niareum,1537,3,3,120
Super built-up  Area,Ready To Move,Immadihalli,2,,1135,2,2,68
Super built-up  Area,Not yet Ready,Hoodi,3,Caycend,1512,3,2,75.77
Super built-up  Area,Ready To Move,Srinivasa Nagar,2,,900,2,1,55
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1230,3,3,54
Super built-up  Area,Not yet Ready,Thirumenahalli,3,MNtha A,1378,2,3,42.33
Super built-up  Area,Not yet Ready,Whitefield,2,Asarqz ,1277,2,1,61.3
Super built-up  Area,Not yet Ready,Hebbal,3,Raard B,1985,4,2,189
Plot  Area,Ready To Move,Kengeri,5,,8000,5,,500
Super built-up  Area,Ready To Move,KPC Layout,2,SVmesVi,1210,2,2,62
Super built-up  Area,Ready To Move,Yelahanka,2,,890,2,,40
Plot  Area,Ready To Move,JP Nagar,9,,2550,9,0,360
Plot  Area,Ready To Move,Sarjapur,4,,1200,5,2,110
Built-up  Area,Ready To Move,Ardendale,4,AWharde,3198,4,3,200
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3,,1464,3,2,56
Super built-up  Area,Ready To Move,Hebbal,4,Prersis,2483,5,2,215
Plot  Area,Ready To Move,Begur,4,,1550,4,2,130
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Vaunei ,4111,4,1,310
Super built-up  Area,Ready To Move,Electronic City,2,SNncypa,975,2,2,37.5
Super built-up  Area,Ready To Move,Nandi Durga Road,3,,2500,3,1,250
Super built-up  Area,Ready To Move,Rajiv Nagar,3,PuoodSk,1690,3,1,125
Super built-up  Area,Not yet Ready,Hosa Road,2,SStusan,1063,2,1,31.89
Plot  Area,Ready To Move,Cooke Town,3,,2572,3,3,390
Carpet  Area,Ready To Move,Kumara Park,3,,2200,4,,350
Built-up  Area,Ready To Move,Daadys Gaarden Layout,3,InockHo,1600,3,0,80
Super built-up  Area,Not yet Ready,Maruthi Nagar,3,,1250,3,1,39.5
Super built-up  Area,Ready To Move,Bommanahalli,1,Prtusth,520,1,0,19.5
Super built-up  Area,Ready To Move,Marathahalli,4,PueraRi,4000,5,,212
Built-up  Area,Ready To Move,Munnekollal,3,Keids O,1390,3,2,68
Super built-up  Area,Not yet Ready,Whitefield,2,SSdhimr,1185,2,2,40
Super built-up  Area,Ready To Move,Sahakara Nagar,2,KVersuj,1219,2,2,48
Super built-up  Area,Not yet Ready,Kudlu Gate,3,Sanzaat,1564,2,1,92
Super built-up  Area,Ready To Move,Sarjapur  Road,4,DSndsod,3435,6,0,228.5
Super built-up  Area,Ready To Move,Hosa Road,2,Sancei ,1100,2,2,37.1
Built-up  Area,Ready To Move,Kothannur,3,Esale O,1300,2,0,60
Plot  Area,Ready To Move,Chikkabanavar,3,,1600,2,0,80
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,,1600,3,2,75
Super built-up  Area,Not yet Ready,Hennur Road,3,Puachal,1482,2,1,92
Plot  Area,Not yet Ready,Marsur,3,MGave E,1000,4,3,66
Super built-up  Area,Ready To Move,Shampura,2,,1200,2,3,53
Plot  Area,Ready To Move,Gubbalala,3,,600,3,2,75
Super built-up  Area,Ready To Move,Kengeri,2,,1200,2,0,58
Plot  Area,Ready To Move,Kereguddadahalli,6,,600,4,0,60
Built-up  Area,Ready To Move,Nagarbhavi,3,,2400,3,0,160
Super built-up  Area,Not yet Ready,Marathahalli,3,PrensKe,1469,3,1,89
Super built-up  Area,Not yet Ready,Kanakapura,1,,551,1,1,30
Super built-up  Area,Not yet Ready,Electronics City Phase 1,2,,1160,2,1,52
Super built-up  Area,Ready To Move,Balagere,2,Soresea,1205,2,1,78.5
Built-up  Area,Ready To Move,Kasavanhalli,3,,1550,2,3,52
Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1745,3,2,125
Super built-up  Area,Ready To Move,AECS Layout,2,Kamesar,1028,2,1,42
Super built-up  Area,Ready To Move,Frazer Town,3,CaaveEn,1700,3,1,180
Super built-up  Area,Ready To Move,Karuna Nagar,3,NadriNe,1200,2,1,34
Super built-up  Area,Ready To Move,Kodihalli,3,Soianal,2700,4,1,270
Built-up  Area,Ready To Move,Kallumantapa,2,BSarknd,1100,2,2,50
Plot  Area,Ready To Move,Ramamurthy Nagar,2,,1200,3,1,72
Super built-up  Area,Ready To Move,Kaverappa Layout,2,Dural C,1269.72,2,2,68
Super built-up  Area,Ready To Move,Electronic City Phase II,2,SJmesst,1266,2,2,59
Super built-up  Area,Ready To Move,Mysore Road,2,Srkha S,1060,2,1,62
Plot  Area,Ready To Move,Malimakanapura,3,Copust ,1168,3,0,70
Super built-up  Area,Ready To Move,Medahalli,2,Sancya ,1552,2,1,51
Super built-up  Area,Not yet Ready,Talaghattapura,3,Sodgere,2273,3,0,120
Super built-up  Area,Ready To Move,Attibele,1,Jae 1hu,500,1,1,17
Super built-up  Area,Ready To Move,Hulimavu,2,,1080,2,2,43.2
Plot  Area,Ready To Move,Kattigenahalli,4,,2100,4,,155
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2,Shntsan,1300,2,2,65
Built-up  Area,Ready To Move,Electronics City Phase 1,2,SNavenc,920,2,2,33
Plot  Area,Ready To Move,New Thippasandra,4,,817,2,1,120
Built-up  Area,Ready To Move,Harlur,2,SrEndPo,1310,2,1,50
Super built-up  Area,Ready To Move,Horamavu Agara,3,,1650,2,1,75
Super built-up  Area,Ready To Move,Garden Layout,3,DSidePr,1515,3,3,93.93
Super built-up  Area,Not yet Ready,Raja Rajeshwari Nagar,2,Prllsan,1157,2,1,53.8
Super built-up  Area,Ready To Move,Viswapriyanagar.begur Road.bommanahalli.,4,,2400,5,1,85
Super built-up  Area,Ready To Move,Konanakunte,4,Siisega,3000,4,3,160
Super built-up  Area,Ready To Move,Basavangudi,3,,2200,2,1,162
Built-up  Area,Not yet Ready,"Hoodi Circle, ",2,,1243,2,1,58
Super built-up  Area,Ready To Move,Rachenahalli,3,Sovar S,1530,2,2,74.39
Super built-up  Area,Ready To Move,Judicial Layout,3,HRnyaAn,2070,3,3,162
Built-up  Area,Ready To Move,Yelahanka,3,PrrloMo,1815,3,2,82
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Maana E,3900,4,3,300
Super built-up  Area,Not yet Ready,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,Not yet Ready,Ananth Nagar,2,,982,2,2,24.55
Super built-up  Area,Ready To Move,Hennur Road,2,Puachal,1232,2,2,89
Super built-up  Area,Not yet Ready,Binny Pete,3,Shestlo,1282,3,2,178
Super built-up  Area,Ready To Move,Yelahanka,1,Prensya,654,1,1,38.4
Built-up  Area,Ready To Move,Bannerghatta Road,2,,1181,2,0,55
Super built-up  Area,Ready To Move,Bisuvanahalli,3,Prityel,1075,2,1,45
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4,,1200,4,2,245
Super built-up  Area,Ready To Move,T K Reddy Layout,3,DSineun,1616,3,1,75
Built-up  Area,Ready To Move,Herohalli,5,,1800,6,0,44.5
Plot  Area,Ready To Move,Kumbena Agrahara,6,,1200,4,1,135
Super built-up  Area,Not yet Ready,Whitefield,3,Somns T,1306,3,2,54.65
Super built-up  Area,Ready To Move,Whitefield,3,Nillsre,1626,3,3,89
Built-up  Area,Ready To Move,"Pai layout , Mahadevapura",6,,2700,4,2,214
Super built-up  Area,Ready To Move,Whitefield,3,Sudama ,1585,3,2,88
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,,1370,2,1,56.17
Plot  Area,Ready To Move,Whitefield,5,,3250,5,3,900
Super built-up  Area,Ready To Move,Kanakpura Road,2,Goelsn ,1495,2,2,90
Super built-up  Area,Ready To Move,frazertown,3,,2000,3,2,210
Plot  Area,Ready To Move,Akshayanagara East,5,,2400,4,1,300
Plot  Area,Ready To Move,Bannerghatta,3,,1375,3,0,57
Super built-up  Area,Ready To Move,Old Madras Road,4,Brica E,3800,6,0,224.5
Built-up  Area,Ready To Move,Kereguddadahalli,3,,1400,2,2,48
Super built-up  Area,Ready To Move,Kadugodi,5,,1100,5,0,135
Super built-up  Area,Not yet Ready,Whitefield,1,SudenEd,670,,,28.585
Plot  Area,Ready To Move,Hebbal Kempapura,4,,1200,4,2,215
Super built-up  Area,Ready To Move,Yelahanka,2,,1150,2,2,46
Super built-up  Area,Ready To Move,Hebbal,2,,1080,2,1,54
Super built-up  Area,Ready To Move,Kaikondrahalli,3,Brtiael,1645,3,2,100
Super built-up  Area,Ready To Move,Doddanekundi,3,AkletBa,1760,3,3,176
Built-up  Area,Ready To Move,Venkatadri Layout,1,Raiyai ,595,1,1,42
Plot  Area,Ready To Move,Bommenahalli,3,Prana S,1200,3,1,125
Super built-up  Area,Not yet Ready,JP Nagar,4,Pehtsa ,5249,4,0,314.5
Built-up  Area,Ready To Move,Mahaganapathy Nagar,2,Vaodak ,1410,2,3,67
Built-up  Area,Not yet Ready,Huskur,2,,1090,2,1,31.48
Plot  Area,Ready To Move,Ramagondanahalli,1,,540,1,0,30
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maaveal,1300,2,2,60
Built-up  Area,Ready To Move,9th Phase JP Nagar,3,ImiteEl,1890,2,2,85
Super built-up  Area,Ready To Move,Belathur,2,SLwernf,1254,2,1,53
Built-up  Area,Ready To Move,Kattigenahalli,7,,2800,7,2,125
Built-up  Area,Ready To Move,Ulsoor,2,,1275,2,,120
Super built-up  Area,Ready To Move,Kathriguppe,3,,1245,2,2,68.48
Built-up  Area,Ready To Move,Rustam Bagh Layout,2,TealdEm,1170,2,2,86
Super built-up  Area,Not yet Ready,Panathur,2,Prcesvy,1193,2,1,86
Super built-up  Area,Not yet Ready,Chandapura,2,,850,2,1,25.4
Super built-up  Area,Ready To Move,Marathahalli,3,PadgeOa,1678,3,3,70
Built-up  Area,Ready To Move,Gunjur,3,NDrelau,1600,3,3,75
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1750,3,2,84
Super built-up  Area,Not yet Ready,Whitefield,2,,1125,2,2,62
Plot  Area,Ready To Move,Andrahalli,4,,2200,4,3,235
Plot  Area,Ready To Move,Singena Agrahara,3,CoiewSy,1500,3,1,95
Built-up  Area,Ready To Move,HBR Layout,3,Peentn ,2800,2,0,200
Plot  Area,Ready To Move,R.T. Nagar,2,,1200,2,1,120
Built-up  Area,Ready To Move,Vittal Nagar,2,Riave E,1000,2,1,50
Built-up  Area,Ready To Move,Sadashiva Nagar,4,,2780,5,2,480
Built-up  Area,Not yet Ready,Electronic City Phase II,3,Sryalan,1320,2,1,38.13
Super built-up  Area,Ready To Move,2Electronic City Phase II,7,,8000,27,0,230
Super built-up  Area,Ready To Move,Ardendale,4,AWharde,2422,4,2,160
Built-up  Area,Ready To Move,Kasavanhalli,2,TNaldme,1100,2,1,50
Built-up  Area,Ready To Move,Uttarahalli,2,Gaent R,882,2,1,30
Super built-up  Area,Ready To Move,Bisuvanahalli,2,Prityel,845,2,1,37
Super built-up  Area,Ready To Move,Kambipura,2,Prrtht ,883,2,1,39
Super built-up  Area,Ready To Move,Thanisandra,1,Bhmesy ,933,,,48.145
Super built-up  Area,Ready To Move,Brookefield,3,Gotaten,1595,3,3,88
Built-up  Area,Ready To Move,Whitefield,2,Gotis A,1280,2,0,85
Built-up  Area,Ready To Move,3rd Block Banashankari,4,,1700,2,1,550
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2,NaaveEn,920,2,0,35
Super built-up  Area,Ready To Move,Choodasandra,2,GRlpank,1300,2,3,57
Super built-up  Area,Ready To Move,Shanthala Nagar,2,Malex C,1450,1,0,230
Super built-up  Area,Ready To Move,Harlur,3,SosicCl,1757,3,2,132
Super built-up  Area,Ready To Move,Anekal,1,,600,1,1,16.5
Built-up  Area,Ready To Move,Jnanabharathi Layout,4,,2400,3,2,142
Super built-up  Area,Ready To Move,Sarjapur,2,,1240,2,1,44
Plot  Area,Ready To Move,Kadarenahalli,10,,7500,10,,900
Super built-up  Area,Not yet Ready,EPIP Zone,2,BrontLa,1330,2,1,93.36
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2,MBodsen,1062,2,1,42.47
Built-up  Area,Ready To Move,JP Nagar,2,DSillto,1078,2,2,45
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1460,2,2,72
Plot  Area,Not yet Ready,Whitefield,3,,1200,3,2,68.5
Super built-up  Area,Ready To Move,Laggere,1,,1200,1,1,48
Super built-up  Area,Ready To Move,Kammasandra,3,,912,2,1,39
Super built-up  Area,Not yet Ready,Hosa Road,3,Sosisic,1426.1,3,1,115
Plot  Area,Ready To Move,Victoria Layout,5,,2400,5,1,625
Plot  Area,Ready To Move,Prithvi Layout,4,Prigh L,2028,4,3,162
Super built-up  Area,Not yet Ready,Mysore Road,2,Brama P,980,2,1,45.47
Built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1000,2,2,40
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Ahriaup,1050,2,1,62
Built-up  Area,Not yet Ready,Bannerghatta,3,,2611,3,1,239
Super built-up  Area,Ready To Move,Domlur,3,Saiewas,1875,2,2,150
Super built-up  Area,Ready To Move,Hennur Road,2,,1065,2,1,42.6
Built-up  Area,Ready To Move,Sanjay nagar,3,,1800,3,2,180
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2,,1163,2,2,98.86
Super built-up  Area,Ready To Move,Tumkur Road,2,,1098,2,1,72
Built-up  Area,Ready To Move,5th Phase JP Nagar,3,Shlashi,1725,2,2,100
Plot  Area,Ready To Move,Whitefield,4,,4000,4,2,330
Super built-up  Area,Ready To Move,Thubarahalli,2,Adity S,1128,2,2,75
Plot  Area,Ready To Move,Subramanyanagar,8,,1320,6,2,200
Super built-up  Area,Ready To Move,Yelahanka,3,Prensya,1705,3,1,74.16
Super built-up  Area,Ready To Move,Thigalarapalya,2,,1418,2,2,95
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,,1500,3,1,160
Built-up  Area,Ready To Move,Hebbal,2,AkncyRe,1100,2,2,50
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,,1464,3,2,56
Super built-up  Area,Not yet Ready,Hebbal,2,Arcia S,812,2,2,55
Super built-up  Area,Not yet Ready,Binny Pete,4,Shestlo,2940,,,204
Super built-up  Area,Ready To Move,Doddanekundi,2,,1280,2,2,40
Super built-up  Area,Ready To Move,Whitefield,2,BruntPa,1420,2,2,136
Plot  Area,Ready To Move,1 Ramamurthy Nagar,11,,1200,11,0,170
Plot  Area,Ready To Move,Kadugondanahalli,6,,727,6,2,66
Plot  Area,Ready To Move,Banashankari Stage II,4,,1200,2,1,150
Super built-up  Area,Not yet Ready,Old Airport Road,4,Jaades ,2774,4,,207
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3,,2000,3,2,85
